Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,Conference name
Pasetto E.; Delilbasic A.; Cavallaro G.; Willsch M.; Melgani F.; Riedel M.; Michielsen K.,Quantum Support Vector Regression for Biophysical Variable Estimation in Remote Sensing,2022,International Geoscience and Remote Sensing Symposium (IGARSS),0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140355485&doi=10.1109%2fIGARSS46834.2022.9883963&partnerID=40&md5=ffc78b33a5ba3d509fe259e50aafe662,"Regression analysis has a crucial role in many Earth Ob-servation (EO) applications. The increasing availability and recent development of new computing technologies moti-vate further research to expand the capabilities and enhance the performance of data analysis algorithms. In this paper, the biophysical variable estimation problem is addressed. A novel approach is proposed, which consists in a reformulated Support Vector Regression (SVR) and leverages Quantum Annealing (QA). In particular, the SVR optimization prob-lem is reframed to a Quadratic Unconstrained Binary Opti-mization (QUBO) problem. The algorithm is then tested on the D-Wave Advantage quantum annealer. The experiments presented in this paper show good results, despite current hardware limitations, suggesting that this approach is viable and has great potential. © 2022 IEEE.",quantum annealing; quantum computing; quantum machine learning; remote sensing; Support vector regression,Machine learning; Quantum computers; Quantum theory; Regression analysis; Bio-physical variables; Computing technology; Machine-learning; Performance; Quantum annealing; Quantum Computing; Quantum machine learning; Quantum machines; Remote-sensing; Support vector regressions; Remote sensing,"2022 IEEE International Geoscience and Remote Sensing Symposium, IGARSS 2022"
Mafu M.; Senekane M.,Design and Implementation of Efficient Quantum Support Vector Machine,2021,"International Conference on Electrical, Computer, and Energy Technologies, ICECET 2021",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127019973&doi=10.1109%2fICECET52533.2021.9698509&partnerID=40&md5=2c7442ffb778fca0579dac25f65da852,"Machine Learning (ML) is arguably the most ad-vanced sub-field of Artificial Intelligence (AI). It concerns the study of computer algorithms that can improve automatically by learning from data (experience) without being explicitly pre-programmed. On the other hand, the quantum version of ML, Quantum Machine Learning (QML), forms one of the most crucial and recent quantum computing applications. It uses quantum mechanical principles such as superposition, interference, and tunneling to enable quantum computers to learn from data. Some examples of QML algorithms include Quantum Principal Component Analysis (QPCA) and Quantum Support Vector Machine (QSVM). The QSVM is a robust supervised machine learning algorithm used for classification and regression. Therefore, this paper discusses the design and implementation of an efficient QSVM model. The model's efficiency is achieved using Principal Component Analysis (PCA) on the classical data, then loading the classical data into a quantum computer. Experimental results demonstrate the significance and application of the QSVM model reported in this paper. © 2021 IEEE.",Artificial Intelligence; Machine Learning; Quan-tum Support Vector Machine; quantum computing,Learning algorithms; Principal component analysis; Quantum computers; Quantum efficiency; Quantum optics; Design and implementations; Machine learning algorithms; Machine-learning; Principal-component analysis; Quan-tum support vector machine; Quanta computers; Quantum Computing; Quantum machines; Support vector machine models; Support vectors machine; Support vector machines,"2021 International Conference on Electrical, Computer, and Energy Technologies, ICECET 2021"
Ohno H.,A direct error correction method for quantum machine learning,2023,Quantum Information Processing,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148334782&doi=10.1007%2fs11128-023-03863-z&partnerID=40&md5=5273bd592be4217874e0b91678e2e0cb,"In performing quantum machine learning on quantum computers (noisy intermediate-scale quantum devices), we need quantum noise and error mitigation methods to obtain reliable outcomes. We thus propose a correction method using learning-based error mitigation for hybrid quantum-classical machine learning, which can be used by experimenters without prior knowledge of the quantum noise channel models. A correction function using linear regression models inspired by the depolarizing noise channel is trained, and the function is to correct classical probabilities of each qubit of the quantum circuit for the quantum machine learning model. In constructing the training data for the correction function, we assume that quantum circuit simulators yield classical probabilities with the noise-free state as the ground truth. In the experiments, quantum generative models, quantum neural networks, and quantum circuit learning models were used for demonstrating the effectiveness of the proposed method on noisy quantum devices (simulation models) and real devices. Experimental results demonstrated that the proposed method worked well for the error correction, and the convergence speed of training the models was improved. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Depolarizing noise channel; Hybrid quantum-classical machine learning; Linear regression model; Quantum error mitigation; Quantum generative model,Depolarization; Learning systems; Machine learning; Quantum noise; Regression analysis; Depolarizing noise channel; Error mitigation; Generative model; Hybrid quantum-classical machine learning; Linear regression modelling; Machine-learning; Noise channels; Quantum error; Quantum error mitigation; Quantum generative model; Quantum-classical; Error correction,
Polson N.; Sokolov V.; Xu J.,Quantum Bayesian computation,2023,Applied Stochastic Models in Business and Industry,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168091282&doi=10.1002%2fasmb.2807&partnerID=40&md5=801748e6e82f6388301f9197f346ccf8,"Quantum Bayesian computation is an emerging field that levers the computational gains available from quantum computers. They promise to provide an exponential speed-up in Bayesian computation. Our article adds to the literature in three ways. First, we describe how quantum von Neumann measurement provides quantum versions of popular machine learning algorithms such as Markov chain Monte Carlo and deep learning that are fundamental to Bayesian learning. Second, we describe quantum data encoding methods needed to implement quantum machine learning including the counterparts to traditional feature extraction and kernel embeddings methods. Third, we show how quantum algorithms naturally calculate Bayesian quantities of interest such as posterior distributions and marginal likelihoods. Our goal then is to show how quantum algorithms solve statistical machine learning problems. On the theoretical side, we provide quantum versions of high dimensional regression, Gaussian processes and stochastic gradient descent. On the empirical side, we apply a quantum FFT algorithm to Chicago house price data. Finally, we conclude with directions for future research. © 2023 The Authors. Applied Stochastic Models in Business and Industry published by John Wiley & Sons Ltd.",quantum Bayes computation (Q-BC); quantum data encoding; quantum deep learning (Q-DL); quantum embedding; quantum encryption; quantum entanglement; quantum feature extraction; quantum FFT; quantum Gaussian processes (Q-GP); quantum learning; quantum MCMC; quantum regression; quantum sensing; quantum stochastic gradient descent (Q-SGD); quantum superposition; quantum von Neumann measurement,Bayesian networks; Deep learning; Embeddings; Encoding (symbols); Extraction; Gaussian distribution; Gaussian noise (electronic); Gradient methods; Linear transformations; Quantum computers; Signal encoding; Stochastic models; Stochastic systems; Data encoding; Embeddings; Features extraction; Gaussian Processes; Quantum baye computation; Quantum data; Quantum data encoding; Quantum deep learning; Quantum embedding; Quantum encryption; Quantum feature extraction; Quantum features; Quantum FFT; Quantum gaussian process; Quantum learning; Quantum MCMC; Quantum regression; Quantum sensing; Quantum stochastic gradient descent; Quantum superpositions; Quantum von neumann measurement; Stochastic gradient descent; Von Neumann measurement; Feature extraction,
Gabor T.; Rosenfeld M.L.; Linnhoff-Popien C.; Feld S.,How to Approximate any Objective Function via Quadratic Unconstrained Binary Optimization,2022,"Proceedings - 2022 IEEE International Conference on Software Analysis, Evolution and Reengineering, SANER 2022",1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135847851&doi=10.1109%2fSANER53432.2022.00149&partnerID=40&md5=f8a0842a5487f25b9b0e0003dcec7ce5,"Quadratic unconstrained binary optimization (QUBO) has become the standard format for optimization using quantum computers, i.e., for both the quantum approximate optimization algorithm (QAOA) and quantum annealing (QA). We present a toolkit of methods to transform almost arbitrary problems to QUBO by (i) approximating them as a polynomial and then (ii) translating any polynomial to QUBO. We showcase the usage of our approaches on two example problems (ratio cut and logistic regression).  © 2022 IEEE.",approximation; quadratic unconstrained binary optimization; quantum computing; QUBO,Approximation; Binary optimization; Objective functions; Optimisations; Quadratic unconstrained binary optimization; Quanta computers; Quantum Computing; Standard format; Qubits,"29th IEEE International Conference on Software Analysis, Evolution and Reengineering, SANER 2022"
Munde A.,An empirical validation for predicting bugs and the release time of open source software using entropy measures—Software reliability growth models,2022,System Assurances: Modeling and Management,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138112522&doi=10.1016%2fB978-0-323-90240-3.00003-5&partnerID=40&md5=cd2ee4cd5558e3397d23275ba8ec088c,"Envisaging software defects is one of the vital fields of exploration in software engineering. Researchers have formulated and executed a plethora of bug forecasting methodologies by computing the performance in terms of precision and difficulty. Various statistical models are established in the literature to observe bug existence and restoring method; these models are termed software reliability growth models. The existence of bugs in software is primarily because of the constant variations in the software code. Open source software is prevalent amongst academicians and has found users in big businesses. OSS is extremely effective, but source code variations have to be made regularly through the progressively advanced requirement at the user’s end. The open source group is expanding rapidly, and numerous categories of provisions are offered. Stakeholders contribute to OSS in business by reinforcing the value of schemes, taking into account great revenue earnings and novel scheme expansion. An essential feature of open source software is determining when to issue a novel form. The principal goal is to announce the software at a suitable time with minimal economic restrictions. The approach after announcing software is a challenge and announcement development performs a vital function in handling effective announcements to clients. It is essentially a group of novel characteristics that are combined to form an invention setting. The primary announcement is just after the expansion procedure and additional consequent announcements are founded upon the preceding announcements, number of prerequisites, and faults restored. Each announcement incorporates a collection of characteristics fulfilling particular restrictions of the corporation as required by the customers. Forming conclusions about what characteristics are to be encompassed in which announcement is a tiresome job. Information theory, which deals with computation and communication of knowledge around a network, was primarily invented by Claude E Shannon. It is a probabilistic established method that emphasizes the computation of vagueness associating data. It has widespread prospective functions in areas including model recognition, statistical interpretation, natural language processing, thermal physics, quantum computing, etc. Entropy is a significant subdivision of information theory that performs a principal function in examining the code change procedure. It is a quantity of uncertainty/difficulty of code change and portrays the quantity of information covered in an event. In this chapter, a method of captivating the number of faults documented in numerous announcements of Bugzilla software is established and distinctive amounts of entropy for the alterations in various software, which informs these intervals, are computed. Initially simple linear regression is employed to envisage faults that are expected to occur in the future. By means of anticipated faults and entropy measures in multiple linear regression, the announcement period of the software has been forecast. © 2022 Elsevier Inc. All rights reserved.",Entropy; Envisaging bugs; Open source software; Regression; Software release; Software reliability; Statistical model,,
Macaluso A.; Clissa L.; Lodi S.; Sartori C.,A variational algorithm for quantum neural networks,2020,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087276245&doi=10.1007%2f978-3-030-50433-5_45&partnerID=40&md5=3cf66bc3b8a5e23e4630f5ba4c432d0f,"Quantum Computing leverages the laws of quantum mechanics to build computers endowed with tremendous computing power. The field is attracting ever-increasing attention from both academic and private sectors, as testified by the recent demonstration of quantum supremacy in practice. However, the intrinsic restriction to linear operations significantly limits the range of relevant use cases for the application of Quantum Computing. In this work, we introduce a novel variational algorithm for quantum Single Layer Perceptron. Thanks to the universal approximation theorem, and given that the number of hidden neurons scales exponentially with the number of qubits, our framework opens to the possibility of approximating any function on quantum computers. Thus, the proposed approach produces a model with substantial descriptive power, and widens the horizon of potential applications already in the NISQ era, especially the ones related to Quantum Artificial Intelligence. In particular, we design a quantum circuit to perform linear combinations in superposition and discuss adaptations to classification and regression tasks. After this theoretical investigation, we also provide practical implementations using various simulation environments. Finally, we test the proposed algorithm on synthetic data exploiting both simulators and real quantum devices. © Springer Nature Switzerland AG 2020.",Machine Learning; Neural Networks; Quantum AI; Quantum computing; Quantum Machine Learning; Quantum variational algorithms,Quantum optics; Qubits; Linear combinations; Number of hidden neurons; Quantum neural networks; Simulation environment; Single layer perceptron; Theoretical investigations; Universal approximation; Variational algorithms; Computation theory,"20th International Conference on Computational Science, ICCS 2020"
Chen J.; Nurdin H.I.; Yamamoto N.,Temporal information processing on noisy quantum computers,2020,Physical Review Applied,38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091856865&doi=10.1103%2fPhysRevApplied.14.024065&partnerID=40&md5=b92c9ed4756d406147f12817c249c5a6,"The combination of machine learning and quantum computing has emerged as a promising approach for addressing previously untenable problems. Reservoir computing is an efficient learning paradigm that utilizes nonlinear dynamical systems for temporal information processing, i.e., processing of input sequences to produce output sequences. Here we propose quantum reservoir computing that harnesses complex dissipative quantum dynamics. Our class of quantum reservoirs is universal, in that any nonlinear fading memory map can be approximated arbitrarily closely and uniformly over all inputs by a quantum reservoir from this class. We describe a subclass of the universal class that is readily implementable using quantum gates native to current noisy gate-model quantum computers. Proof-of-principle experiments on remotely accessed cloud-based superconducting quantum computers demonstrate that small and noisy quantum reservoirs can tackle high-order nonlinear temporal tasks. Our theoretical and experimental results pave the path for attractive temporal processing applications of near-term gate-model quantum computers of increasing fidelity but without quantum error correction, signifying the potential of these devices for wider applications including neural modeling, speech recognition, and natural language processing, going beyond static classification and regression tasks. © 2020 American Physical Society.",,Dynamical systems; Error correction; Learning systems; Modeling languages; Natural language processing systems; Nonlinear dynamical systems; Quantum theory; Qubits; Speech recognition; Dissipative quantum dynamics; NAtural language processing; Proof-of-principle experiments; Quantum error corrections; Reservoir Computing; Static classification; Temporal information processing; Temporal processing; Computer circuits,
,"2023 International Conference on Data Science and Its Applications, ICoDSA 2023",2023,"2023 International Conference on Data Science and Its Applications, ICoDSA 2023",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175615174&partnerID=40&md5=c78cfb8dbe288ff327e9d8996b63a671,The proceedings contain 88 papers. The topics discussed include: fire detection on video using the 3D CNN method; sentiment analysis of 2024 presidential candidates in Indonesia: statistical descriptive and logistic regression approach; noisy image filtering methods for an improved Sundanese script handwriting classification; online course recommender system using singular value decomposition; smart monitoring and controlling system for soil moisture utilizing Internet of Things (IoT) technology with fuzzy logic controller; face-recognition based attendance authentication system with proposed blockchain technology; dynamical decoupling (DD) to improve fidelity in quantum computing; internet-of-things-based rain detection device using machine learning classification for rain prediction at Telkom University; prediction of diabetes mellitus in the upcoming year using SMOTE and random forest; and performance and statistical evaluation of three sampling approaches in handling binary imbalanced data sets.,,,"2023 International Conference on Data Science and Its Applications, ICoDSA 2023"
,"2023 4th International Conference for Emerging Technology, INCET 2023",2023,"2023 4th International Conference for Emerging Technology, INCET 2023",0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175114322&partnerID=40&md5=b576a5f46c865e3f0a1df71545e20388,The proceedings contain 411 papers. The topics discussed include: artificial intelligence energy efficiency in low power applications; deep CNN: classification of known classes and unknown classes based on Softmax prediction probabilities; an efficient decision support system for stock market prediction using technical indicators as features by machine learning approaches; synopsis creation for research paper using text summarization models; smart intelligent system that can code like a human being; network intrusion detection system using reinforcement learning; simulation and analysis of a mems based micromirror system for deployment in optical beam steering systems used in experimental quantum computing; automated breast density assessment using image processing techniques; language agnostic program conformance analysis; power saving in multi-hop device to device communication; securing data storage in cloud after migration using immutable data dispersion; mental health analysis using deep learning of social media data gathered using chrome extension; indoor violence detection using lightweight transformer model; indexing and segmentation of video contents: a review; and diabetes prediction using logistic regression and rule extraction from decision tree and random forest classifiers.,,,"4th International Conference for Emerging Technology, INCET 2023"
Raubitzek S.; Mallinger K.,On the Applicability of Quantum Machine Learning,2023,Entropy,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175113235&doi=10.3390%2fe25070992&partnerID=40&md5=ce5d98fd959ebd9fd43f3073002750a9,"In this article, we investigate the applicability of quantum machine learning for classification tasks using two quantum classifiers from the Qiskit Python environment: the variational quantum circuit and the quantum kernel estimator (QKE). We provide a first evaluation on the performance of these classifiers when using a hyperparameter search on six widely known and publicly available benchmark datasets and analyze how their performance varies with the number of samples on two artificially generated test classification datasets. As quantum machine learning is based on unitary transformations, this paper explores data structures and application fields that could be particularly suitable for quantum advantages. Hereby, this paper introduces a novel dataset based on concepts from quantum mechanics using the exponential map of a Lie algebra. This dataset will be made publicly available and contributes a novel contribution to the empirical evaluation of quantum supremacy. We further compared the performance of VQC and QKE on six widely applicable datasets to contextualize our results. Our results demonstrate that the VQC and QKE perform better than basic machine learning algorithms, such as advanced linear regression models (Ridge and Lasso). They do not match the accuracy and runtime performance of sophisticated modern boosting classifiers such as XGBoost, LightGBM, or CatBoost. Therefore, we conclude that while quantum machine learning algorithms have the potential to surpass classical machine learning methods in the future, especially when physical quantum infrastructure becomes widely available, they currently lag behind classical approaches. Our investigations also show that classical machine learning approaches have superior performance classifying datasets based on group structures, compared to quantum approaches that particularly use unitary processes. Furthermore, our findings highlight the significant impact of different quantum simulators, feature maps, and quantum circuits on the performance of the employed quantum estimators. This observation emphasizes the need for researchers to provide detailed explanations of their hyperparameter choices for quantum machine learning algorithms, as this aspect is currently overlooked in many studies within the field. To facilitate further research in this area and ensure the transparency of our study, we have made the complete code available in a linked GitHub repository. © 2023 by the authors.",boost classifiers; CatBoost; classification; Lasso; LightGBM; neural networks; Qiskit; quantum computing; quantum kernel estimator; quantum machine learning; Ridge; variational quantum circuit; XGBoost,,
Wozniakowski A.; Thompson J.; Gu M.; Binder F.C.,A new formulation of gradient boosting,2021,Machine Learning: Science and Technology,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116744784&doi=10.1088%2f2632-2153%2fac1ee9&partnerID=40&md5=023b5cc96236dae4b94a4cdc6b9b65e9,"In the setting of regression, the standard formulation of gradient boosting generates a sequence of improvements to a constant model. In this paper, we reformulate gradient boosting such that it is able to generate a sequence of improvements to a nonconstant model, which may contain prior knowledge or physical insight about the data generating process. Moreover, we introduce a simple variant of multi-target stacking that extends our approach to the setting of multi-target regression. An experiment on a real-world superconducting quantum device calibration dataset demonstrates that our approach outperforms the state-of-the-art calibration model even though it only receives a paucity of training examples. Further, it significantly outperforms a well-known gradient boosting algorithm, known as LightGBM, as well as an entirely data-driven reimplementation of the calibration model, which suggests the viability of our approach. © 2021 The Author(s). Published by IOP Publishing Ltd",Boosting; Ensemble learning; Multi-target regression; Prior knowledge; Quantum computing; Stacking,Quantum theory; Regression analysis; Boosting; Calibration model; Ensemble learning; Gradient boosting; Multi-target regression; Multi-targets; Prior-knowledge; Quantum Computing; Stackings; Target regression; Quantum computers,
Date P.; Potok T.,Adiabatic quantum linear regression,2021,Scientific Reports,16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118610148&doi=10.1038%2fs41598-021-01445-6&partnerID=40&md5=2a876b6e18760b36344ee16e9282d19f,"A major challenge in machine learning is the computational expense of training these models. Model training can be viewed as a form of optimization used to fit a machine learning model to a set of data, which can take up significant amount of time on classical computers. Adiabatic quantum computers have been shown to excel at solving optimization problems, and therefore, we believe, present a promising alternative to improve machine learning training times. In this paper, we present an adiabatic quantum computing approach for training a linear regression model. In order to do this, we formulate the regression problem as a quadratic unconstrained binary optimization (QUBO) problem. We analyze our quantum approach theoretically, test it on the D-Wave adiabatic quantum computer and compare its performance to a classical approach that uses the Scikit-learn library in Python. Our analysis shows that the quantum approach attains up to 2.8 × speedup over the classical approach on larger datasets, and performs at par with the classical approach on the regression error metric. The quantum approach used the D-Wave 2000Q adiabatic quantum computer, whereas the classical approach used a desktop workstation with an 8-core Intel i9 processor. As such, the results obtained in this work must be interpreted within the context of the specific hardware and software implementations of these machines. © 2021, The Author(s).",,adiabaticity; article; human; linear regression analysis; software; theoretical study,
Hu R.; Tang Z.; Yang R.,QE-DAL: A quantum image feature extraction with dense distribution-aware learning framework for object counting and localization,2023,Applied Soft Computing,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150792757&doi=10.1016%2fj.asoc.2023.110149&partnerID=40&md5=245057c845fa8438063c58d50e33fcec,"Object counting and localization (OCL) was an essential problem in intelligent transportation fields. The convolutional neural network (CNN)-based models transformed the OCL problems into a regression task. However, the abundant semantic information of the crowd scenes may lead the CNN framework hard to extract adequate features in order to ensure good precision In this work, a Quantum Image Feature Extraction with Dense Distribution-Aware Learning (QE-DAL) framework was proposed to handle this problem. The crowd features were extracted by Quantum layers, which were extracted by encoding, quantum circuits and decode procedures based on the multi-scale architecture. For handling objects, the refined distance compensating operator was adopted to fuse the multi-scale architecture. To relieve the computation burden, a Gaussian distribution estimation mechanism was proposed to initiate and update the bounding sizes of the objects via a point-supervised manner. Finally, the joint loss function, which describes pixel classes, density maps and offset bounding boxes, was built for QE-DAL. The ablation experiment results demonstrated that the effectiveness of the quantum feature extraction architecture and the Gaussian distribution estimation mechanism of QE-DAL was validated to show superior performance than the other state-of-the-art framework. Moreover, the generalization of the QE-DAL was evidenced by the Cross-scene learning evaluation. © 2023 Elsevier B.V.",Distribution aware learning; Object counting and localization; Quantum computing; Refined distance compensating,Convolutional neural networks; Extraction; Gaussian distribution; Image processing; Network architecture; Quantum computers; Quantum theory; Semantics; Convolutional neural network; Distribution aware learning; Distribution estimation; Image feature extractions; Multi-scales; Object counting; Object localization; Quantum Computing; Quantum images; Refined distance compensating; Feature extraction,
Watabe M.; Shiba K.; Chen C.-C.; Sogabe M.; Sakamoto K.; Sogabe T.,Quantum circuit learning with error backpropagation algorithm and experimental implementation,2021,Quantum Reports,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108547023&doi=10.3390%2fquantum3020021&partnerID=40&md5=c8bc6aadea4763f0fe33c2d46a6b0e3e,"Quantum computing has the potential to outperform classical computers and is expected to play an active role in various fields. In quantum machine learning, a quantum computer has been found useful for enhanced feature representation and high-dimensional state or function approximation. Quantum–classical hybrid algorithms have been proposed in recent years for this purpose under the noisy intermediate-scale quantum computer (NISQ) environment. Under this scheme, the role played by the classical computer is the parameter tuning, parameter optimization, and parameter update for the quantum circuit. In this paper, we propose a gradient descent-based backpropagation algorithm that can efficiently calculate the gradient in parameter optimization and update the parameter for quantum circuit learning, which outperforms the current parameter search algorithms in terms of computing speed while presenting the same or even higher test accuracy. Meanwhile, the proposed theoretical scheme was successfully implemented on the 20-qubit quantum computer of IBM Q, ibmq_johannesburg. The experimental results reveal that the gate error, especially the CNOT gate error, strongly affects the derived gradient accuracy. The regression accuracy performed on the IBM Q becomes lower with the increase in the number of measurement shot times due to the accumulated gate noise error. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Backpropagation; IBM Q; Machine learning; Quantum computing,,
Lötstedt E.; Wang L.; Yoshida R.; Zhang Y.; Yamanouchi K.,Error-mitigated quantum computing of Heisenberg spin chain dynamics,2023,Physica Scripta,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149041069&doi=10.1088%2f1402-4896%2facbcac&partnerID=40&md5=f848b194023a0d4df02eab909e62b29d,"We simulate the time-dependent dynamics of a three-site spin chain described by the Heisenberg XXX Hamiltonian. The quantum circuit representing the time-dependent wave function is constructed using the Suzuki-Trotter approximation, and is executed on the quantum computer ibm_kawasaki. At each time step, the density matrix of the three-qubit state is reconstructed by state tomography. By applying four different mitigation methods, Clifford data regression, Pauli twirling, density matrix purification, and density matrix orthogonalization, we demonstrate that accurate time-dependent populations and density matrices can be calculated on noisy superconducting-qubit type quantum computers. © 2023 IOP Publishing Ltd.",error mitigation; Heisenberg spin chain; quantum computing; time-dependent simulation,Matrix algebra; Quantum optics; Qubits; Spin dynamics; Wave functions; Chain dynamics; Density matrix; Error mitigation; Heisenberg; Heisenberg spin chains; Quanta computers; Quantum Computing; Spin chains; Time dependent simulation; Time-dependent dynamics; Population statistics,
Mehta V.; Katare D.P.; Meetei P.A.; Mani R.J.,Intellection of biological life in current era,2022,Artificial Intelligence and Computational Dynamics for Biomedical Research,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141623159&doi=10.1515%2f9783110762044-004&partnerID=40&md5=cdcb95d68b9c10e535fe59a174728f81,"In the coming decades, the world will undergo a transformation. Hence, that period of time will be an era of advancing technologies such as big data analytics, bioinformatics analysis, artificial intelligence, robotics, quantum computing, deep learning, genetic algorithm, support vector machine, discriminant analysis, naive Bayes, nearest neighbors, neural networks, linear regression, hierarchical regression, ensembles, decision trees, neural network algorithm, artificial neural network, K-means clustering, Gaussian mixture, Python, machine learning, JAVA, hidden Markov and genetic programming. This chapter focuses on the rapidly evolving technologies that connect artificial intelligence in biology with bioinformatics and its techniques. Researchers faced a significant hurdle in describing the new topic ""Bioinformatics"" in a systematic scientific manner while also drawing attention to its applications and services. This chapter examines evaluation, experimentation, predictive research, trial evaluation and biological science demonstration. Robotics with a wide range of tools, machines and computer science is used as technology to do complex tasks with human ability, which answers queries such as ""What is the evolutionary distance between two species?""; ""What does replicative origin's hidden message mean?""; ""What is the cause and pattern of mutation?""; ""In a certain gene, how and where does replication begin?""; ""Which of the cells is still attempting to replicate?""; ""What vaccine is the best to get in order to prepare for virus mutation?""; ""Where did my forefathers and mothers come from?"" This chapter also describes the role of technology in the study of life and drug development, as well as whether bioinformatics is comparable to artificial intelligence in biology. © 2023 Walter de Gruyter GmbH, Berlin/Boston.",Bioinformatics; Computational biology; Machine learning; Simulation software company,,
Faber F.A.; Christensen A.S.; Lilienfeld O.A.,Quantum Machine Learning with Response Operators in Chemical Compound Space,2020,Lecture Notes in Physics,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086087367&doi=10.1007%2f978-3-030-40245-7_8&partnerID=40&md5=93efdbe76059aa4e1ab0f8c36da840ec,"The choice of how to represent a chemical compound has a considerable effect on the performance of quantum machine learning (QML) models based on kernel ridge regression (KRR). A carefully constructed representation can lower the prediction error for out-of-sample data by several orders of magnitude with the same training data. This is a particularly desirable effect in data scarce scenarios, such as they are common in first principles based chemical compound space explorations. Unfortunately, representations which result in KRR models with low and steep learning curves for extensive properties, for example, energies, do not necessarily lead to well performing models for response properties. In this chapter we review the recently introduced FCHL18 representation (Faber et al., J Chem Phys 148(24):241717, 2018), in combination with kernel-based QML models to account for response properties by including the corresponding operators in the regression (Christensen et al., J Chem Phys 150(6):064105, 2019). FCHL18 was designed to describe an atom in its chemical environment, allowing to measure distances between elements in the periodic table, and consequently providing a metric for both structural and chemical similarities between compounds. The representation does not decouple the radial and angular degrees of freedom, which makes it well-suited for comparing atomic environments. QML models using FCHL18 display low and steep learning curves for energies of molecules, clusters, and crystals. By contrast, the same QML models exhibit less favorable learning for other properties, such as forces, electronic eigenvalues, or dipole moments. We discuss the use of the electric field differential operator within a kernel-based operator QML (OQML) approach. Using OQML results in the same predictive accuracy for molecular dipole norm, but with approximately 20× less training data, as directly learning the dipole norm with a KRR model. © 2020, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.",,,
Dollen D.V.; Neukart F.; Weimer D.; Bäck T.,Predicting vehicle prices via quantum-assisted feature selection,2023,International Journal of Information Technology (Singapore),3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165237184&doi=10.1007%2fs41870-023-01370-z&partnerID=40&md5=7cebecda27233d47e0921efe18ca62d3,"Feature selection is a technique used to reduce complexity and improve performance in regards to generalization, fit, and accuracy of prediction for machine learning models. A central challenge in this selection process is that the search over the space of features to find the subset of k optimal features is a known NP-Hard problem. In this work, we study metrics for encoding the combinatorial search as a binary quadratic model, such as Generalized Mean Information Coefficient and Pearson Correlation Coefficient in application to the underlying regression problem of price prediction. We compare predictive model performance in regards to leveraging quantum-assisted vs. classical subroutines for the search, using minimum redundancy maximal relevancy as the heuristic for our approach. We cross validate predictive models on a real world problem of price prediction, and show a performance improvement of mean absolute error scores for our quantum-assisted method (1471.02 ± 135.6) vs. similar methodologies such as greedy selection (1707.2 ± 168) , recursive feature elimination (1678.3 ± 143.7) , and all features (1546.2 ± 154). Our findings show that by leveraging quantum assisted routines we find solutions which increase the quality of predictive model output while reducing the input dimensionality to the learning algorithm on synthetic and real-world data. © 2023, The Author(s).",Combinatorial optimization; Feature selection; Machine learning; Price prediction; Quantum annealing; Quantum computing; Quantum machine learning; Supervised learning,,
